|normal|cleaned_tweets|no_clean|cleaned_score
0|Climate change is happening now. Denial is dangerous. http:// ofa.bo/2efZv0y|[]|5.409999999999999|
1|Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: http:// ofa.bo/2e3fRg6 #ActOnClimate|['supporters', 'up']|5.660000000000001|6.17
2|Climate change is real, but so is the progress we're making to #ActOnClimate . Let's keep it up. pic.twitter.com/GOFKXQblGJ|['progress', 'making']|5.423333333333333|6.75
3|"Wildfires in the next few decades could be ""unrecognizable"" to previous generations because of climate change : http:// ofa.bo/2dWNyOS"|[]|5.233333333333333|
4|Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: http:// ofa.bo/2dZNTRx #ActOnClimate|['supporters', 'up']|5.660000000000001|6.17
5|Support the bold steps we're taking against climate change . Say you're ready to #ActOnClimate : http:// ofa.bo/2dcUwww|['against', 'ready']|5.314545454545454|4.99
6|Climate change 's effects are devastating. Denying the science behind it does nothing to help. http:// ofa.bo/2d7ppaq #ActOnClimate|['science', 'nothing']|5.14|5.38
7|We can't sit idly by. Climate change is likely to threaten our national security we must act now. http:// ofa.bo/2crGwUg #ActOnClimate pic.twitter.com/CCFZdEYc8T|"[u""can't"", u'likely', u'our', u'act']"|5.382|5.484999999999999
8|Communities are already experiencing the effects of climate change  we can't afford not to act. Take a look: http:// ofa.bo/2d1OQbb pic.twitter.com/3BFbRDUXBv|"[u""can't"", u'afford', u'not']"|5.073333333333335|4.4799999999999995
9|Meaningful action on climate change can't wait. President Obama explains why in this @nytimes interview. http:// ofa.bo/2cH9trK|"[""can't""]"|5.28|3.42
10|We need to keep up efforts to fight climate change at every level locally, nationally, globally. #ActOnClimate pic.twitter.com/L10qdkgPDg|[u'up', u'fight']|5.1818181818181825|4.42
11|We must take bold steps now  climate change is already impacting millions of people. http:// ofa.bo/2czxiBK #ActOnClimate|[u'millions']|5.505999999999999|7.26
12|The Paris Climate Agreement is a big deal in the fight against climate change  and now, a big step closer to reality. http:// ofa.bo/2c20UYS|[u'big', u'deal', u'fight', u'against', u'big']|5.232|4.9719999999999995
13|Conservation not only protects diverse lands and species, it's also an important part of battling climate change . http:// ofa.bo/2c1ui1v|['not', 'important']|5.264615384615384|5.09
14|When Americans stand together, there's no challenge too great to solve not even climate change . #ActOnClimate today: http:// ofa.bo/2bIxOeU|[u'no', u'great']|5.5120000000000005|5.68
15|Rhode Island just built America's first offshore wind farm, which will create clean energy and fight climate change . http:// ofa.bo/2biiBG4|['built', 'first', 'will', 'create', 'clean', 'energy', 'fight']|5.8307692307692305|6.102857142857142
16|America's leadership in the fight against climate change pays off in more ways than one. #ActOnClimate pic.twitter.com/tGK9Uu5l0C|['leadership', 'fight', 'against', 'pays', 'more']|5.136923076923077|5.0760000000000005
17|Our children's health and prosperity is too important to ignore the consequences of climate change . Speak out now: http:// ofa.bo/2bsKGtH|"[""children's"", 'health', 'prosperity', 'important', 'ignore']"|5.4479999999999995|6.24
18|Climate change is not too big of a challenge to solve. We're making good headway. #ActOnClimate pic.twitter.com/s2yzyDqvNR|['not', 'big', 'making', 'good']|5.492727272727273|5.88
19|"""There's no doubt that America has become a global leader in the fight against climate change .""  President Obama http:// ofa.bo/2bdVxaK"|[u'no', u'doubt', u'global', u'leader', u'fight', u'against']|4.8585714285714285|4.1866666666666665
20|In the weekly address, President Obama discusses progress made in combating climate change  and what's left to do. http:// ofa.bo/2bdVxaK|[u'progress']|5.478|7.26
21|Show your support for bold action to fight climate change . http:// ofa.bo/2b1kV3k #ActOnClimate|['support', 'fight']|5.326666666666666|4.57
22|Americans across the country agree that we need bold action in the fight against climate change . #ActOnClimate pic.twitter.com/znuajZ6CmE|['country', 'agree', 'we', 'fight', 'against']|5.2426666666666675|5.092
23|These extreme records aren't a fluke  climate change is largely caused by human activity. http:// ofa.bo/2azFXCj #ActOnClimate|[u'records', u'human']|5.343636363636363|6.14
24|Our children's health and prosperity is too important to ignore the consequences of climate change . Speak out now: http:// ofa.bo/2afsLYI|"[""children's"", 'health', 'prosperity', 'important', 'ignore']"|5.4479999999999995|6.24
25|97 percent of climate scientists agree  climate change is real and man-made. Stand up for bold action: http:// ofa.bo/2a8V4rM #ActOnClimate|[u'scientists', u'real', u'up']|5.665|6.420000000000001
26|Add your name if you agree: Climate change is real and it's going to take global action to tackle it. http:// ofa.bo/uav #ActOnClimate|['you', 'real', 'global']|5.45875|6.34
27|Say you support decisive action to tackle climate change . http:// ofa.bo/vb1 #ActOnClimate|['you', 'support']|5.705714285714286|6.34
28|Take a look at President Obama's interview with @NatGeo on national parks, climate change and more. http:// ofa.bo/vam|[]|5.458|
29|Former Energy Secretary @GovRichardson : Why the #TPP will make a difference in fighting climate change . http:// ofa.bo/d62l|['will', 'make', 'fighting']|5.182222222222222|4.926666666666667
30|Show your support for continued efforts to tackle climate change : http:// ofa.bo/b60k #ActOnClimate|['support']|5.482222222222221|6.44
31|Add your name if you support big steps forward in the fight to tackle climate change : http:// ofa.bo/z0TF #ActOnClimate|['you', 'support', 'big', 'forward', 'fight']|5.389333333333335|5.54
32|Good climate change policy and good economic policy can go hand in hand. #ActOnClimate pic.twitter.com/MEDMB870SP|['good']|5.5618181818181816|7.2
33|Don't let climate change deniers jeopardize the progress we've made toward a safer, healthier future. Call them out: http:// ofa.bo/d5ue|['progress', 'toward']|5.683999999999999|6.6899999999999995
34|Fighting climate change will save Americans money at the gas pump. #ActOnClimate pic.twitter.com/ePl93jLYTU|['will', 'save', 'money']|5.732499999999999|6.62
35|Add your name if you support global efforts to tackle climate change : http:// ofa.bo/fA8b|['you', 'support', 'global']|5.596363636363637|6.226666666666667
36|Don't let climate change deniers derail progress show your support for bold action on climate change : http:// ofa.bo/uQC #ActOnClimate|[u'support']|5.6872727272727275|6.44
37|The fight to tackle climate change took a big step on Friday with hundreds of countries signing the #ParisAgreement . pic.twitter.com/gk7BWRRBqA|['fight', 'big', 'signing']|5.275|4.986666666666667
38|We're already seeing the effects of climate change . Denial is unacceptable. #ActOnClimate pic.twitter.com/k3sphu7KgC|['seeing']|5.452500000000001|6.38
39|Show your support for bold moves to combat climate change  add your name: http:// ofa.bo/yRP #ActOnClimate|[u'support', u'combat']|5.3740000000000006|4.82
40|Carbon pollution is the biggest contributor to climate change  and President Obama is taking it head on. pic.twitter.com/lZlIAyD9UV|[u'pollution', u'biggest']|5.176666666666667|4.08
41|We can tackle climate change  but it's going to take all of us working together. #ActOnClimate pic.twitter.com/LEvJFzebLA|[u'all', u'us']|5.446666666666666|6.24
42|Bold action on climate change matters. #ActOnClimate pic.twitter.com/fzKtmRyFCQ|[]|5.725|
43|Say you'll stand up for bold action to fight climate change : http:// ofa.bo/jA3W #ActOnClimate|['up', 'fight']|5.306|4.42
44|We can't let climate change deniers derail progress say you stand for bold action: http:// ofa.bo/jA3P #ActOnClimate|"[u""can't"", u'you']"|5.359999999999999|4.83
45|Add your name to support bold action to combat climate change : http:// ofa.bo/jA3H #ActOnClimate|['support', 'combat']|5.394000000000001|4.82
46|Climate change is real and it's devastating communities across the country. We have #ActOnClimate now. pic.twitter.com/RD8EC74QXZ|[]|5.3342857142857145|
47|Climate change means wildfires are now a continual threat in some parts of the country: http:// ofa.bo/wQo #ActOnClimate|['threat']|5.049090909090908|2.36
48|Get weekly updates on everything from the #SCOTUS nomination process to climate change : http:// ofa.bo/c5pE pic.twitter.com/Ms5hVDn8se|['updates', 'nomination']|5.554545454545456|6.16
49|Get the facts on everything from a fair #SCOTUS nomination process to climate change : http:// ofa.bo/c5dy pic.twitter.com/qnB5GLM8eC|['facts', 'fair', 'nomination']|5.66|6.3999999999999995
50|The impact of climate change in one GIF: http:// ofa.bo/g9lf #ActOnClimate|[]|5.336666666666667|
51|Read President Obama's thoughts on climate change , technology, and #WomenInSTEM : http:// ofa.bo/x8D pic.twitter.com/IrcnE2T88M|['thoughts']|5.671999999999999|6.22
52|Scientists agree climate change is man-made and we can do something about it. http:// ofa.bo/j9fm #ActOnClimate|[u'agree', u'we']|5.684444444444444|6.54
53|Take a look at President Obama's latest common-sense step to help fight climate change : http:// ofa.bo/h9qt #ActOnClimate|['latest', 'help', 'fight']|5.218000000000001|4.946666666666666
54|97 percent of climate scientists agree: Climate change is real and man-made. #ActOnClimate pic.twitter.com/UaCZus7uv6|['scientists', 'real']|5.645|6.5600000000000005
55|Fighting climate change : Creating jobs: The solar industry is booming. pic.twitter.com/8GYjQkeaTU|['solar']|5.691999999999999|6.54
56|"""If anybody still wants to dispute the science around climate change , have at it. You ll be pretty lonely.""  President Obama #SOTU"|[u'dispute', u'science', u'pretty']|5.467142857142856|5.906666666666666
57|Global action on climate change is happening show your support today: http:// ofa.bo/j9c5 #ActOnClimate #SOTU|[u'support']|5.731428571428571|6.44
58|We have the responsibility to lead on climate change . #ActOnClimate #SOTU pic.twitter.com/VnoqXVDdFw|['lead']|5.5875|6.28
59|This is huge: Almost every country in the world just signed on to the #ParisAgreement on climate change  thanks to American leadership.|[u'country', u'world']|5.533333333333334|6.4
60|WATCH: President Obama tells a room full of organizers to continue the fight on climate change . http:// ofa.bo/a5NX #ActOnClimate|['full', 'fight']|5.215|4.46
61|With American leadership, more than 180 nations have committed to tackling climate change . #UnitedOnClimate pic.twitter.com/iq1SyJhVsX|['more', 'nations', 'committed']|5.6899999999999995|6.206666666666667
62|The world is #UnitedOnClimate  it's time for climate change deniers in Congress to get on board. pic.twitter.com/fayuoBVCmP|[u'world']|5.598000000000001|6.52
63|Climate change deniers are trying to undermine America's commitment to #ActOnClimate . Read more: http:// ofa.bo/b5OG|['commitment']|5.463333333333334|6.32
64|Be a part of this historic moment in the fight against climate change  join the #UnitedOnClimate conversation: http:// ofa.bo/d5JD #COP21|[u'fight', u'against']|4.9799999999999995|3.05
65|Stand up for global action on climate change  add your name: http:// ofa.bo/e5Gc #ActOnClimate pic.twitter.com/OOG1VviHCw|[u'up', u'global']|5.7325|6.07
66|The global talks on climate change have begun. Join the conversation: http:// ofa.bo/e5Gb #UnitedOnClimate|['global']|5.6485714285714295|6.0
67|Watch President Obama discuss how to build a framework for progress on the global effort to tackle climate change . http://www. snappytv.com/tc/1074329|['build', 'progress', 'global']|5.5737499999999995|6.493333333333333
68|The Clean Power Plan is one of the biggest step America's ever taken to tackle climate change . pic.twitter.com/UOvVIhJ7pp|['biggest']|5.233333333333333|6.0
69|Say you're ready for strong global efforts to #ActOnClimate  don't let climate change deniers prevent progress: http:// ofa.bo/e5G8|[u'ready', u'strong', u'global']|5.694545454545454|6.546666666666667
70|Don't let climate change deniers stand in the way of global progress on climate action: http:// ofa.bo/t9R9 #ActOnClimate|['global', 'progress']|5.634999999999999|6.63
71|Progress on tackling climate change is happening and we can't go back. #ActOnClimate pic.twitter.com/w2MLu1V6Xc|"[u'we', u""can't""]"|5.348571428571428|4.9
72|Don't let climate change deniers derail progress in the global effort to #ActOnClimate : http:// ofa.bo/e5FW pic.twitter.com/AG1XQ3AyFR|['progress', 'global']|5.702222222222223|6.63
73|Get the facts on important issues like climate change  join the OFA Truth Team: http:// ofa.bo/g9TB|[u'facts', u'important', u'issues', u'like']|5.597777777777777|5.874999999999999
74|Man-made climate change is having a big effect on global temperatures. Read more: http:// ofa.bo/t9Qj #ActOnClimate|['big', 'global']|5.611111111111111|6.109999999999999
75|Retweet if you support American leadership on climate change . #ActOnClimate pic.twitter.com/nzUDGeuE7v|['you', 'support', 'leadership']|5.822857142857143|6.3933333333333335
76|The President just rejected #KeystoneXL . Add your name to support strong action on climate change : http:// ofa.bo/f9VS #ActOnClimate|['rejected', 'support', 'strong']|5.505454545454546|5.1933333333333325
77|"""If we want to prevent the worst effects of climate change before it's too late, the time to act is now.""  President Obama #ActOnClimate"|[u'we', u'worst', u'act']|5.176666666666667|4.826666666666667
78|Read @ShaunOMB 's op-ed on how science and data are helping the U.S. focus on the long-term costs of climate change : http:// ofa.bo/h9cB|['science', 'helping', 'focus', 'costs']|5.42111111111111|5.99
79|Big polluters and climate change deniers are standing in the way of progress fight back: http:// ofa.bo/c5Fn pic.twitter.com/UeLwhEwg4Q|[]|5.306666666666667|
80|Don't let climate change deniers have the final say on the Clean Power Plan show your support: http:// ofa.bo/a5K4 #ActOnClimate|[]|5.424|
81|Action on climate change can't wait which is why the Clean Power Plan is so important. http://www. snappytv.com/tc/724551|"[u""can't""]"|5.082222222222222|3.42
82|See where your representatives stand on the basic science of climate change : http:// ofa.bo/p9ZY #ActOnClimate|['science']|5.487272727272727|6.86
83|Climate change denial is at a record low just not in Congress. Read more: http:// ofa.bo/e5E8 #ActOnClimate|[u'denial', u'not']|4.9475|3.71
84|Climate change is an issue that cannot be left for future generations and @pontifex agrees: http:// ofa.bo/a5HB #ActOnClimate|[u'cannot', u'future']|5.061999999999999|5.04
85|Climate change is real and it's time to act. http:// ofa.bo/r9Pr (h/t @washingtonpost ) pic.twitter.com/U9HJCLVUGt|[]|5.268|
86|Investments in clean energy are boosting the economy while fighting climate change . #ActOnClimate pic.twitter.com/24j5r1rmAW|[u'clean', u'energy', u'fighting']|5.485|5.626666666666668
87|"""Few things can have as negative an impact on our economy as climate change .""  President Obama #ActOnClimate http:// snpy.tv/1JI9CTs"|[u'negative', u'our']|5.161538461538461|4.25
88|"  Climate change is no longer some far-off problem; it is happening here, it is happening now.""  President Obama http:// ofa.bo/i9Gb"|[u'no']|5.114545454545454|3.48
89|Get a behind-the-scenes look at President Obama's trip to Alaska the front lines in the fight against climate change . http://www. snappytv.com/tc/784964|[u'trip', u'fight', u'against']|5.110769230769231|4.366666666666666
90|"""As long as I m President, America will lead the world to meet the threat of climate change .""  President Obama http:// ofa.bo/h9Mk"|[u'will', u'lead', u'world', u'meet', u'threat']|5.28923076923077|5.512
91|"""No challenge poses a greater threat to our future than climate change .""  President Obama http:// ofa.bo/g9DR #ActOnClimate"|[u'greater', u'threat', u'our', u'future']|5.398|5.47
92|Investing in renewable energy helps fight climate change  and creates jobs. #ActOnClimate pic.twitter.com/AnCmecZuV1|[u'energy', u'helps', u'fight', u'creates']|5.628571428571429|5.635
93|This is a big deal in the fight to curb climate change . #ActOnClimate pic.twitter.com/kKd3iHCfbH|['big', 'deal', 'fight']|5.196363636363636|5.079999999999999
94|Don t let climate change deniers set us back. Add your name to support the Clean Power Plan: http:// ofa.bo/r9EX|[u'us', u'support']|5.632000000000001|6.35
95|New limits on methane pollution will help curb climate change and protect public health: http:// ofa.bo/q98z #ActOnClimate|['limits', 'pollution', 'will', 'help', 'protect']|5.187272727272727|5.012
96|Climate change deniers want to stop the Clean Power Plan. Don t let them add your name today: http:// ofa.bo/i9Dr #ActOnClimate|[u'stop']|5.23|3.9
97|Jon traveled 3,000 miles to change the conversation about climate change . Read more: http:// ofa.bo/f9Dv #ActOnClimate|['traveled', 'conversation']|5.555555555555555|6.33
98|Read about Jon's 3,000 mile journey to fight climate change : http:// ofa.bo/q97E #ActOnClimate|['journey', 'fight']|5.1971428571428575|4.92
99|Retweet if you believe it's time for action on climate change . #ActOnClimate pic.twitter.com/SUQYTCvC4n|['you', 'believe']|5.634|6.470000000000001
100|President Obama is heading to Alaska the front lines in the fight against climate change . http://www. snappytv.com/tc/745062|[u'fight', u'against']|4.96|3.05
101|From @Deese44 : Read why the Clean Power Plan is vital to the fight against climate change : http:// ofa.bo/q94p #ActOnClimate|['fight', 'against']|4.832|3.05
102|LIVE: President Obama is speaking about fighting climate change with the Clean Power Plan. http:// ofa.bo/b53C #ActOnClimate|['fighting']|5.129999999999999|2.76
103|You don't have to be a policy expert to make a difference on issues like climate change : http:// ofa.bo/t94d|"[""don't"", 'expert', 'make', 'issues', 'like']"|5.365|5.491999999999999
104|New report: Left unchecked, climate change presents catastrophic risks to human health. http:// ofa.bo/i8ZJ #ActOnClimate|['presents', 'risks', 'human']|5.596666666666667|5.746666666666667
105|The benefits of fighting climate change are clear the sooner we #ActOnClimate , the better off we'll be. http:// ofa.bo/s8Vs|[u'benefits', u'fighting', u'sooner', u'we', u'better']|5.468333333333333|5.916
106|Fighting climate change with solar power creates jobs. #PutSolarOnIt pic.twitter.com/0zWThuBfn7|['solar', 'power', 'creates']|6.053333333333332|6.413333333333333
107|States like Hawaii are leading the fight against climate change : http:// ofa.bo/i7zy #SwitchToClean|['like', 'leading', 'fight', 'against']|5.1825|4.989999999999999
108|Climate change is already affecting our communities. That's why the President is taking steps to #ActOnClimate now. pic.twitter.com/2VhVCQ2E7p|['our']|5.293636363636364|6.08
109|Add your name to join the team fighting back against climate change denial: http:// ofa.bo/f6Mr #ActOnClimate pic.twitter.com/Hbu3cZcUgR|['join', 'team', 'fighting', 'against']|5.134545454545454|4.66
110|"""This cannot be subject to the usual politics and the usual rhetoric.""  President Obama on climate change #ActOnClimate"|[u'cannot']|5.109230769230769|3.32
111|"""The only way the world is going to prevent the effects of climate change is to slow down the warming of the planet.""  President Obama"|[u'world', u'slow', u'down']|5.107619047619047|4.653333333333333
112|""" Climate change  and especially rising seas is a threat to our homeland security.""  President Obama #ActOnClimate"|[u'especially', u'rising', u'threat', u'our']|5.274285714285715|5.285
113|"""Denying it or refusing to deal with it endangers our national security.""  President Obama on climate change #ActOnClimate"|[u'deal', u'our']|5.547272727272727|6.2
114|"""The best scientists in the world know that climate change is happening.""  President Obama #ActOnClimate"|[u'best', u'scientists', u'world', u'know']|5.81|6.535
115|What will it take for climate change deniers to #ActOnClimate ? pic.twitter.com/uN7gkOcpyM|['will']|5.397142857142858|6.02
116|NASA leads the world in the exploration and study of planets. Let's not let climate change deniers change that: http:// ofa.bo/a4ts|['leads', 'world', 'study', 'not']|5.421538461538461|5.64
117|Too many elected officials are still in denial about climate change . Join the team holding them accountable: http:// ofa.bo/g562|['elected', 'denial', 'team']|5.311428571428571|5.306666666666667
118|Addressing climate change isn't just good for our planet and our economy it's good for our health: http:// ofa.bo/c4fr #ActOnClimate|[u'good', u'our', u'planet', u'our', u'good', u'our']|5.8769230769230765|6.526666666666667
119|The science is clear  climate change shouldn't be ignored. #ActOnClimate pic.twitter.com/4cDfjNrvYe|"[u'science', u""shouldn't""]"|5.486666666666667|5.35
120|Farmers can fight climate change . Read about the Obama administration's new plans to help: http:// ofa.bo/a4Vp #ActOnClimate|['fight', 'new', 'plans']|5.264|5.239999999999999
121|""" Climate change can no longer be denied. It can't be edited out. It can't be omitted from the conversation.""  President Obama #ActOnClimate"|"[u'no', u""can't"", u""can't"", u'omitted']"|4.84923076923077|3.56
122|"""The Pentagon says that climate change poses an increasing set of risks for global security.""  President Obama #ActOnClimate"|[u'increasing', u'risks', u'global']|5.303636363636364|5.3933333333333335
123|LIVE: President Obama is discussing the threat climate change poses to our economy and to the world. http:// ofa.bo/q4qh #ActOnClimate|['threat', 'our']|5.021666666666667|4.22
124|Tune in at 3:05 p.m. ET to watch the President speak in Everglades National Park about fighting climate change : http:// ofa.bo/d4Sn|['fighting']|5.158181818181818|2.76
125|""" Climate change can no longer be denied or ignored.""  President Obama http:// ofa.bo/d4PC #ActOnClimate"|[u'no']|5.104|3.48
126|This article debunks six big myths on climate change : http:// ofa.bo/s4nl (h/t @goodhousemag ) #ActOnClimate|['big']|5.666666666666667|6.22
127|Climate change deniers are running out of excuses. #ActOnClimate pic.twitter.com/guYIY2dyBQ|[]|5.196|
128|Man-made climate change is happening, and it's a real threat to public health. Read more here: http:// ofa.bo/f4fr|['real', 'threat', 'more']|5.22|5.126666666666667
129|Read how President Obama is working to minimize public health risks from climate change : http:// ofa.bo/p4k2 #ActOnClimate|['health', 'risks']|5.311999999999999|5.5
130|Climate change is a global problem. Here's another step towards solving it: http:// ofa.bo/f4W9 #ActOnClimate|['global', 'solving']|5.5325|6.02
131|Before this round ends, help decide who advances in the Climate Change Fantasy Tournament: http:// ofa.bo/e3ds #ChampionDenier|['help', 'advances']|5.5375|6.16
